"Name","Disc. Date","Host Name","z","dL (Mpc)","Type"
"SN2018ery","2018/08/02","","0.07","330","Ia"
"SN2018esa","2018/08/01","","0.07","330","Ia"
"SN2018exv","2018/08/07","","0.07","330","Ia"
"SN2018fem","2018/08/14","","0.07","330","Ia"
"SN2018ffb","2018/08/17","GALEXASC J225811.55-201702.1","0.07","330","Ia"
"SN2018fjv","2018/08/16","","0.07","330","Ia"
"SN2018fmr","2018/08/19","","0.07","330","Ia"
"SN2018grv","2018/09/15","","0.07","330","Ia"
"SN2018hlg","2018/10/10","","0.07","330","Ia"
"SN2018hrm","2018/11/01","","0.07","330","Ia-91T"
"SN2018hrw","2018/11/01","","0.07","330","Ia"
"SN2018icl","2018/11/03","","0.07","330","Ia"
"SN2018jvy","2018/12/09","","0.07","330","Ia"
"SN2018ktc","2018/12/20","","0.07","330","Ia"
"SN2019abg","2019/01/24","","0.07","330","Ia"
"SN2019arf","2019/02/08","","0.07","330","Ia"
"SN2019bfj","2019/02/27","","0.07","330","Ia"
"SN2019blt","2019/02/09","","0.07","330","Ia"
"SN2019bso","2019/03/13","","0.07","330","Ia"
"SN2019bwh","2019/03/17","","0.07","330","Ia"
"SN2019bzk","2019/03/16","","0.07","330","Ia"
"SN2019clk","2019/03/26","","0.07","330","Ia"
"SN2019coj","2019/03/31","","0.07","330","Ia"
"SN2019czu","2019/03/30","","0.07","330","Ia"
"SN2019dnu","2019/04/16","","0.07","330","Ia"
"SN2019duu","2019/04/19","","0.07","330","Ia"
"SN2019eef","2019/04/25","","0.07","330","Ia"
"SN2019ewz","2019/05/09","","0.07","330","Ia"
"SN2019fju","2019/05/13","","0.07","330","Ia"
"SN2019geq","2019/05/31","","0.07","330","Ia"
"SN2019gsw","2019/05/31","","0.07","330","Ia"
"SN2019gxg","2019/06/02","","0.07","330","Ia"
"SN2019hch","2019/06/07","","0.07","330","Ia"
"SN2019hei","2019/06/06","","0.07","330","Ia"
"SN2019hlx","2019/06/10","","0.07","330","Ia"
"SN2019hql","2019/06/13","","0.07","330","Ia"
"SN2019ief","2019/06/23","","0.07","330","Ia"
"SN2019ir","2019/01/04","","0.07","330","Ia"
"SN2019lfh","2019/07/08","","0.07","330","Ia"
"SN2019maw","2019/07/22","","0.07","330","Ia"
"SN2019mbe","2019/07/26","","0.07","330","Ia"
"SN2019mrg","2019/08/05","","0.07","330","Ia"
"SN2019mty","2019/08/06","","0.07","330","Ia"
"SN2019nez","2019/08/08","","0.07","330","Ia"
"SN2019nwn","2019/08/10","","0.07","330","Ia"
"SN2019pdy","2019/08/31","","0.07","330","Ia"
"SN2019pkd","2019/08/31","","0.07","330","Ia"
